#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ar	Hsp90ab1	10090.ENSMUSP00000052648	10090.ENSMUSP00000024739	0	0.058	0.800	0.968	0.993
Ar	Fkbp4	10090.ENSMUSP00000052648	10090.ENSMUSP00000032508	0	0	0.800	0	0.800
Ar	Ptges3	10090.ENSMUSP00000052648	10090.ENSMUSP00000050292	0	0	0.800	0.062	0.804
Ar	Nr3c2	10090.ENSMUSP00000052648	10090.ENSMUSP00000105539	0	0	0.500	0.150	0.556
Ar	Hspa1b	10090.ENSMUSP00000052648	10090.ENSMUSP00000133815	0	0.047	0	0.617	0.619
Ar	Nr3c1	10090.ENSMUSP00000052648	10090.ENSMUSP00000111229	0	0	0.500	0.274	0.621
Ar	Pgr	10090.ENSMUSP00000052648	10090.ENSMUSP00000140124	0	0	0.500	0.485	0.731
Ar	Hsp90aa1	10090.ENSMUSP00000052648	10090.ENSMUSP00000091921	0	0.058	0.800	0.969	0.993
Fkbp4	Hsp90ab1	10090.ENSMUSP00000032508	10090.ENSMUSP00000024739	0	0.203	0.500	0.979	0.990
Fkbp4	Stip1	10090.ENSMUSP00000032508	10090.ENSMUSP00000025918	0	0.304	0.500	0.244	0.714
Fkbp4	Hspa1b	10090.ENSMUSP00000032508	10090.ENSMUSP00000133815	0	0	0.500	0.714	0.850
Fkbp4	Pgr	10090.ENSMUSP00000032508	10090.ENSMUSP00000140124	0	0	0.800	0.350	0.864
Fkbp4	Nr3c2	10090.ENSMUSP00000032508	10090.ENSMUSP00000105539	0	0	0.800	0.367	0.868
Fkbp4	Fkbp5	10090.ENSMUSP00000032508	10090.ENSMUSP00000110440	0	0	0.900	0.276	0.924
Fkbp4	Ptges3	10090.ENSMUSP00000032508	10090.ENSMUSP00000050292	0	0.348	0.800	0.538	0.934
Fkbp4	Nr3c1	10090.ENSMUSP00000032508	10090.ENSMUSP00000111229	0	0.457	0.800	0.456	0.935
Fkbp4	Hsp90aa1	10090.ENSMUSP00000032508	10090.ENSMUSP00000091921	0	0.596	0.500	0.979	0.995
Fkbp5	Hsp90ab1	10090.ENSMUSP00000110440	10090.ENSMUSP00000024739	0	0.481	0.500	0.983	0.995
Fkbp5	Stip1	10090.ENSMUSP00000110440	10090.ENSMUSP00000025918	0	0	0.500	0.256	0.612
