#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Gstm2	Gsto1	10090.ENSMUSP00000012348	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gstm3	Gstm5	10090.ENSMUSP00000004136	10090.ENSMUSP00000004134	0	0.142	0.500	0	0.552
Gstm3	Gstm4	10090.ENSMUSP00000004136	10090.ENSMUSP00000029489	0	0	0.500	0	0.499
Gstm3	Gstm7	10090.ENSMUSP00000004136	10090.ENSMUSP00000004137	0	0	0.500	0	0.499
Gstm3	Gsto2	10090.ENSMUSP00000004136	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gstm3	Gsto1	10090.ENSMUSP00000004136	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gstm3	Gstm6	10090.ENSMUSP00000004136	10090.ENSMUSP00000102296	0	0.222	0.400	0	0.513
Gstm4	Gstm5	10090.ENSMUSP00000029489	10090.ENSMUSP00000004134	0	0.142	0.500	0	0.552
Gstm4	Gstm7	10090.ENSMUSP00000029489	10090.ENSMUSP00000004137	0	0	0.500	0	0.499
Gstm4	Gsto1	10090.ENSMUSP00000029489	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gstm4	Gstm6	10090.ENSMUSP00000029489	10090.ENSMUSP00000102296	0	0	0.500	0	0.499
Gstm4	Gsto2	10090.ENSMUSP00000029489	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gstm5	Gsto1	10090.ENSMUSP00000004134	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gstm5	Gsto2	10090.ENSMUSP00000004134	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gstm5	Gstm6	10090.ENSMUSP00000004134	10090.ENSMUSP00000102296	0	0.142	0.500	0	0.552
Gstm5	Gstm7	10090.ENSMUSP00000004134	10090.ENSMUSP00000004137	0	0.142	0.500	0	0.552
Gstm6	Gstm7	10090.ENSMUSP00000102296	10090.ENSMUSP00000004137	0	0	0.500	0	0.499
Gstm6	Gsto1	10090.ENSMUSP00000102296	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gstm6	Gsto2	10090.ENSMUSP00000102296	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gstm7	Gsto2	10090.ENSMUSP00000004137	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gstm7	Gsto1	10090.ENSMUSP00000004137	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gsto1	Gsto2	10090.ENSMUSP00000026050	10090.ENSMUSP00000052592	0	0	0.700	0	0.700
