#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Gsta2	Gstm5	10090.ENSMUSP00000034902	10090.ENSMUSP00000004134	0	0	0.500	0.042	0.500
Gsta2	Gstm3	10090.ENSMUSP00000034902	10090.ENSMUSP00000004136	0	0	0.500	0.046	0.502
Gsta2	Gstm7	10090.ENSMUSP00000034902	10090.ENSMUSP00000004137	0	0	0.500	0.091	0.526
Gsta2	Gstm1	10090.ENSMUSP00000034902	10090.ENSMUSP00000004140	0	0	0.500	0.046	0.502
Gsta2	Gstm2	10090.ENSMUSP00000034902	10090.ENSMUSP00000012348	0	0	0.500	0.069	0.514
Gsta2	Gsto1	10090.ENSMUSP00000034902	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gsta2	Gsta3	10090.ENSMUSP00000034902	10090.ENSMUSP00000027067	0	0	0.400	0	0.400
Gsta2	Gstm4	10090.ENSMUSP00000034902	10090.ENSMUSP00000029489	0	0	0.500	0.069	0.514
Gsta2	Gsto2	10090.ENSMUSP00000034902	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gsta2	Gstm6	10090.ENSMUSP00000034902	10090.ENSMUSP00000102296	0	0	0.500	0.069	0.514
Gsta3	Gstm5	10090.ENSMUSP00000027067	10090.ENSMUSP00000004134	0	0	0.500	0.042	0.500
Gsta3	Gstm3	10090.ENSMUSP00000027067	10090.ENSMUSP00000004136	0	0	0.500	0.046	0.502
Gsta3	Gstm7	10090.ENSMUSP00000027067	10090.ENSMUSP00000004137	0	0	0.500	0.505	0.741
Gsta3	Gstm1	10090.ENSMUSP00000027067	10090.ENSMUSP00000004140	0	0	0.500	0.046	0.502
Gsta3	Gstm2	10090.ENSMUSP00000027067	10090.ENSMUSP00000012348	0	0	0.500	0.069	0.514
Gsta3	Gsto1	10090.ENSMUSP00000027067	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gsta3	Gsto2	10090.ENSMUSP00000027067	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gsta3	Gstm4	10090.ENSMUSP00000027067	10090.ENSMUSP00000029489	0	0	0.500	0.069	0.514
Gsta3	Gstm6	10090.ENSMUSP00000027067	10090.ENSMUSP00000102296	0	0	0.500	0.069	0.514
Gstm1	Gstm5	10090.ENSMUSP00000004140	10090.ENSMUSP00000004134	0	0.142	0.500	0	0.552
Gstm1	Gstm3	10090.ENSMUSP00000004140	10090.ENSMUSP00000004136	0	0	0.400	0	0.400
Gstm1	Gstm7	10090.ENSMUSP00000004140	10090.ENSMUSP00000004137	0	0	0.500	0	0.499
Gstm1	Gstm2	10090.ENSMUSP00000004140	10090.ENSMUSP00000012348	0	0	0.400	0	0.400
Gstm1	Gstm6	10090.ENSMUSP00000004140	10090.ENSMUSP00000102296	0	0	0.400	0	0.400
Gstm1	Gstm4	10090.ENSMUSP00000004140	10090.ENSMUSP00000029489	0	0	0.500	0	0.499
Gstm1	Gsto2	10090.ENSMUSP00000004140	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
Gstm1	Gsto1	10090.ENSMUSP00000004140	10090.ENSMUSP00000026050	0	0	0.500	0.056	0.507
Gstm2	Gstm5	10090.ENSMUSP00000012348	10090.ENSMUSP00000004134	0	0.303	0.500	0	0.637
Gstm2	Gstm3	10090.ENSMUSP00000012348	10090.ENSMUSP00000004136	0	0	0.400	0	0.400
Gstm2	Gstm7	10090.ENSMUSP00000012348	10090.ENSMUSP00000004137	0	0	0.500	0	0.499
Gstm2	Gstm6	10090.ENSMUSP00000012348	10090.ENSMUSP00000102296	0	0	0.400	0	0.400
Gstm2	Gstm4	10090.ENSMUSP00000012348	10090.ENSMUSP00000029489	0	0	0.500	0	0.499
Gstm2	Gsto2	10090.ENSMUSP00000012348	10090.ENSMUSP00000052592	0	0	0.500	0.056	0.507
